Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
24.8,2,0,0,24.8,2,4,0,28.8,4,2017,M
29.3,8,0,0,29.3,5,0,0,29.3,5,2017,M
29.5,9,0,0,29.5,6,0,0,29.5,6,2017,M
30,10T,0,0,30,7,0,0,30,7,2017,M
30.5,12T,0,0,30.5,8T,0,0,30.5,8,2017,M
30.5,12T,0,0,30.5,8T,0,0,30.5,9,2017,M
31.8,15,0,0,31.8,11,0,0,31.8,10,2017,M
33.3,17T,0,0,33.3,12T,0,0,33.3,11,2017,M
34.3,22,0,0,34.3,16,0,0,34.3,12,2017,M
34.8,23T,0,0,34.8,17,0,0,34.8,13,2017,M
34,21,0,0,34,15,4,0,38,14,2017,M
38.8,34,0,0,38.8,22,0,0,38.8,15,2017,M
35,25T,0,0,35,18T,4,0,39,16,2017,M
39,35,0,0,39,23,0,0,39,17,2017,M
35,25T,0,0,35,18T,0,4,39,18,2017,M
31.5,14,0,0,31.5,10,8,1,40.5,19,2017,M
40.8,38,0,0,40.8,25T,0,0,40.8,20,2017,M
28,6T,0,12.8,40.8,25T,0,0,40.8,21,2017,M
33.3,17T,0,0,33.3,12T,8,0,41.3,22,2017,M
37.5,30T,0,0,37.5,20,4,0,41.5,23,2017,M
33.8,20,0,0,33.8,14,8,0,41.8,24,2017,M
38,32,0,0,38,21,4,0,42,25,2017,M
33.5,19,20,0,53.5,27,0,0,53.5,26,2017,M
38.5,33,20,0,58.5,29,0,0,58.5,27,2017,M
37.3,29,20,0,57.3,28,8,1,66.3,28,2017,M
44.3,39,20,0,64.3,31,8,0,72.3,29,2017,M
35.3,27,40,0,75.3,32,0,0,75.3,30,2017,M
27.3,4T,20,16,63.3,30,12,1,76.3,31,2017,M
35.8,28,20,28.4,84.2,34,0,0,84.2,32,2017,M
40.3,37,40,10.8,91.1,35,4,0,95.1,33,2017,M
39.3,36,0,0,39.3,24,---,---,---,W,2017,M
